2 32 9
2 33 1
2 3 1
2 38 6
2 39 1
2 35 21
2 31 13
3 33 30
3 35 18
3 34 8
3 31 18
5 38 10
5 31 8
7 52 55
8 51 12
12 16 22
12 43 9
12 19 37
12 13 2
12 15 13
13 16 1
13 19 2
14 19 4
14 15 11
15 49 3
15 19 16
16 19 8
16 18 5
16 43 19
21 25 19
21 45 23
21 22 8
21 23 8
22 36 4
22 45 1
22 23 4
22 25 23
22 26 8
23 46 1
23 36 3
25 26 3
25 36 12
25 45 1
26 27 1
26 36 1
26 30 4
27 37 1
27 39 1
29 32 5
29 37 2
29 30 3
29 39 5
30 32 4
30 37 6
30 39 1
31 32 2
31 33 14
31 38 14
31 39 3
31 35 32
32 35 19
32 37 26
32 39 23
32 34 22
33 35 13
33 34 15
34 37 23
34 35 14
35 37 5
35 38 8
35 39 6
36 46 5
36 56 1
37 39 9
38 39 8
40 43 8
40 47 5
46 56 13
47 51 4
