1 32 81
1 34 3
1 35 4
1 4 1
1 5 48
1 38 43
1 11 2
1 44 5
1 13 1
1 15 13
1 43 1
1 21 13
1 28 3
1 30 64
3 32 27
3 33 4
3 34 7
3 35 1
3 4 3
3 39 1
3 40 2
3 43 73
3 13 1
3 17 44
3 18 4
3 21 1
3 22 354
3 23 5
3 31 157
4 32 4
4 34 17
4 5 8
4 6 8
4 17 30
4 25 1
4 38 1
4 31 30
5 32 8
5 34 21
5 35 19
5 37 643
5 38 4
5 33 1566
5 41 4
5 39 4
5 13 1
5 15 2
5 17 6
5 19 6
5 24 1
5 28 2
5 30 1
6 32 10
6 34 4
6 19 76
6 25 4
6 31 494
13 37 1008
13 33 14
13 40 53
13 39 851
13 35 62
15 38 12
15 30 1
15 43 38
16 43 3
16 36 2
17 32 15
17 41 213
17 19 4
17 21 4
17 31 1848
18 32 16
18 23 4
19 31 860
20 29 1
20 37 77
20 31 762
21 32 55
21 40 2
21 31 23
22 40 2
22 35 1
22 43 62
22 31 68
23 32 2
24 41 3
24 26 4
24 31 1229
25 34 1
26 31 48
28 34 1
30 32 65
30 38 1
30 44 9
31 32 14
31 37 1
31 41 2324
31 43 288
32 34 1
32 40 5
32 44 64
32 38 1
33 34 2
33 35 115
33 37 1254
33 39 71
34 38 2
34 37 3
35 39 1008
35 37 1821
37 39 1562
37 40 149
37 43 193
38 44 3
