12 65 5
12 73 1
12 74 10
12 76 3
12 79 4
12 81 7
12 82 1
12 83 8
12 84 2
12 85 12
12 86 2
12 89 2
12 90 1
13 14 208
13 15 4669
13 16 155
13 17 11270
13 18 1118
13 21 3142
13 22 126
13 25 411
13 27 6956
13 29 11679
13 30 31
13 31 4223
13 35 1
13 37 9
13 39 28
13 47 309
13 51 525
13 55 848
13 56 10
13 57 3591
13 58 494
13 60 13
13 61 74
13 63 39
13 64 27
13 65 183
13 67 32
13 68 5
13 71 11161
13 72 41
13 73 21383
13 74 357
13 75 3896
13 77 6
13 78 4
13 79 3904
13 80 6
13 81 15743
13 82 250
13 83 4363
13 84 1342
13 85 4
13 86 40
13 87 4
13 88 6
13 90 27
13 91 1063
13 93 193
13 99 85
13 103 29
14 15 74
14 16 181
14 17 29
14 18 255
14 29 39
14 30 108
14 40 1
14 47 7
14 50 8
14 51 8
14 52 9
14 55 31
14 56 1
14 57 4
14 58 284
14 61 35
14 63 39
14 64 43
14 65 19
14 66 1
14 72 12
14 73 8
14 74 39
14 75 3
14 76 5
14 78 1
14 79 46
14 80 14
14 81 115
14 82 170
14 83 56
14 84 10
14 85 123
14 86 13
14 89 7
14 90 2
14 91 32
14 93 9
14 99 16
15 16 242
15 17 149
15 18 39
15 21 1
15 23 1
15 27 1828
15 29 3431
15 30 36
15 31 1
15 38 1
15 39 53
15 47 1659
15 51 1577
15 55 3563
15 56 21
15 57 53
15 58 34
15 60 4
15 61 654
15 63 382
15 64 9
15 65 680
15 70 1
15 71 16
15 73 1622
15 74 3
15 75 13
15 78 1
15 79 714
15 80 8
15 81 5977
15 82 148
15 83 2066
15 84 726
15 85 410
15 86 149
15 88 29
15 90 105
15 91 4236
15 93 896
15 99 367
16 17 74
16 18 50
16 22 10
16 24 2
16 28 53
16 29 5
16 30 203
16 32 3
16 34 6
16 38 15
16 39 2
16 42 1
16 44 1
16 46 39
16 47 464
16 50 14
16 52 19
16 55 410
16 56 83
16 57 23
16 58 19
16 60 20
16 61 531
16 63 375
16 64 10
16 65 251
16 66 15
16 68 56
16 70 10
16 72 109
16 73 4
16 74 77
16 75 1
16 76 8
16 77 2
16 78 3
16 79 16
16 80 51
16 81 173
16 82 671
16 83 211
16 84 354
16 85 28
16 86 567
16 88 65
16 90 279
