1 10 906
1 11 1126
1 6 2416
2 32 383
2 34 2
2 3 15
2 37 17
2 42 20
2 25 2
2 31 158
2 5 14
3 32 1
3 33 155
3 42 21
3 34 18
4 48 21
5 32 14
5 33 1
5 50 62
5 37 2
5 38 1
5 41 65
5 42 201
5 12 63
5 13 762
5 16 332
5 18 14
5 28 111
5 31 20
6 11 2544
6 10 5628
6 43 1085
6 42 61
7 12 3
7 13 1
7 15 6
7 16 4
7 17 26
7 19 1
7 20 3
7 54 4
8 50 89
8 52 811
8 47 1655
9 41 1457
9 42 631
9 53 4
10 11 2387
11 14 35
11 15 124
12 13 1561
12 14 2807
12 15 2926
12 16 11527
12 17 4089
12 18 128
12 19 573
12 53 718
13 14 149
13 16 1445
13 17 9
13 18 104
13 53 52
13 31 20
14 49 30
14 15 15950
14 16 1987
14 17 9473
14 19 1191
15 49 121
15 16 856
15 17 11692
15 19 1959
16 17 1867
16 19 2
17 49 7
17 19 1062
17 54 1
18 53 939
19 49 27
19 54 8
20 54 44
21 25 57
21 45 39
22 24 110
22 36 222
22 23 1295
23 36 158
23 38 2
23 39 3
23 24 105
23 28 5
23 30 3
24 36 5
25 38 2
25 45 1
25 47 1
25 30 1
26 28 1
26 30 1
27 28 8
27 29 4
27 30 7
27 39 2
28 35 18
28 36 127
28 38 10
28 39 3
28 29 4
28 30 4
29 30 4
30 39 6
31 32 8
31 33 508
31 37 4
31 42 270
32 33 2
32 34 1
32 35 10
32 37 21
33 34 306
33 42 197
35 37 1
35 38 1
37 40 5
40 43 63
40 44 2
40 47 90
40 48 41
40 50 79
40 55 1388
41 42 1620
41 44 33
41 53 30
42 55 699
42 44 5810
43 47 12
43 55 478
44 55 2052
47 48 20
47 50 136
47 52 230
47 55 196
47 56 5
48 50 1256
50 52 3
