1 2 3
1 7 1
1 136 140
1 137 2
1 11 232
1 141 226
1 142 23
1 16 3561
1 146 459
1 147 133
1 150 604
1 24 285
1 154 29
1 156 39
1 158 116
1 159 5617
1 34 50
1 35 1
1 164 1
1 165 288
1 41 1
1 44 1
1 174 16
1 175 6
1 200 351
1 179 99
1 53 1
1 184 1
1 58 461
1 59 1
1 189 2101
1 62 1
1 63 1108
1 72 174
1 73 90
1 77 2
1 81 1
1 82 202
1 14 1
1 88 275
1 36 65
1 114 527
1 19 149
1 119 1
1 122 1239
1 125 115
2 132 609
2 133 1
2 7 2
2 14 9
2 143 134
2 16 1411
2 149 4
2 150 5750
2 26 665
2 159 2
2 33 570
2 166 191
2 167 5
2 170 1074
2 173 20
2 56 2655
2 61 5
2 191 205
2 69 6
2 82 14767
2 85 1315
2 93 1
2 95 150
2 97 590
2 100 6
2 102 80
2 104 320
2 189 2648
2 117 21
2 122 245
2 63 476
3 132 92
3 6 1
3 136 2536
3 137 9
3 138 2
3 142 2
3 19 2409
3 148 1
3 46 7
3 26 3
3 175 33
3 35 6
3 37 119
3 170 264
3 45 14
3 174 1988
3 47 2
3 185 10
3 58 2218
3 62 13
3 81 1591
3 163 6
3 84 2
3 94 5
3 147 7486
3 126 3
4 129 7137
4 130 30
4 141 10130
4 145 14741
4 146 14841
4 67 5182
4 20 1541
4 23 2587
4 24 595
4 154 9
4 47 1527
4 158 4447
4 159 2004
4 34 796
4 165 14243
4 167 985
4 40 1
4 44 1
4 175 1
4 177 1
4 183 2318
4 184 9655
4 57 5020
4 63 339
4 195 1
4 72 385
4 74 1626
4 84 576
4 88 1004
4 92 183
4 103 53
4 121 6801
4 122 14263
4 200 543
4 125 1393
5 193 7
5 167 8
5 40 14
5 139 1
5 109 104
5 168 13
5 51 8
5 149 1
5 22 12
5 183 8
5 104 8
5 91 46
6 132 9
6 136 280
6 140 75
6 17 9
6 21 3
6 25 2
6 156 136
6 29 20
6 31 11
6 163 96
6 38 10
6 168 8
6 41 84
6 174 99
6 175 15
6 181 41
6 182 6
6 60 3
6 53 1
6 65 6
6 197 65
6 76 170
6 79 5
6 81 2
6 83 19
6 87 49
6 93 1
6 100 15
6 104 2
6 188 405
6 46 85
6 111 1
6 157 6
6 113 2
6 115 1
6 123 40
7 128 14
7 14 105
7 143 7
7 157 6
7 158 1
7 159 1
7 33 2
7 166 40
7 177 1
7 180 11
7 56 2
7 191 1
7 69 2
7 82 2
7 85 7
7 93 55
7 98 1
7 100 2
7 108 1
7 125 1
8 96 4
8 156 78
8 171 28
8 50 198
8 21 2
8 56 34
8 154 1038
8 188 2
9 129 31
9 162 3
9 195 3
9 165 4
9 145 33
9 74 8
9 183 71
9 108 1
9 141 5
9 176 1
9 177 1
9 23 80
9 184 33
9 57 21
9 122 33
9 103 60
11 130 25
11 141 1132
11 144 1
11 17 2
11 146 4119
11 20 400
11 23 2210
11 24 2113
11 25 21
11 154 222
11 158 3285
11 159 3139
11 33 8
11 34 184
11 164 26
11 165 3047
11 38 2
11 167 1033
11 168 13
11 47 2
11 72 191
11 183 170
11 184 740
11 57 1421
11 59 14
11 189 418
11 63 2013
11 66 29
11 67 119
11 200 1203
11 73 47
11 74 107
11 75 1
11 84 26
11 88 2034
11 98 5
11 99 1
11 117 8
11 119 16
11 153 20
11 121 409
11 122 3400
11 125 1499
12 128 12
12 137 29
12 139 101
12 140 84
12 144 58
12 17 8
12 146 2
12 147 4
12 153 171
12 25 55
12 197 7
12 35 1
12 164 8
12 38 12
12 113 111
12 40 1
12 41 70
12 174 2
12 49 5
12 53 282
12 185 4
12 59 24
12 181 5
12 66 26
12 69 2
12 71 12
12 72 5
12 75 50
12 81 6
12 163 20
12 87 2
12 98 7
12 145 1
12 107 6
12 109 2
12 168 3
12 83 48
12 118 53
12 119 115
12 124 8
12 126 11
13 139 3
13 17 6
13 21 1
13 154 53
13 156 9
13 157 2
13 31 1
13 161 25
13 34 6
13 38 4
13 40 5
13 171 203
13 55 8
13 56 47
13 60 4
13 64 1
13 73 75
13 79 38
13 93 2
13 106 23
13 168 3
13 115 19
13 116 33
13 123 1
13 149 2
14 128 122
14 136 5
14 141 128
14 143 1239
14 17 15
14 146 63
14 147 3
14 24 286
14 154 114
14 157 66
14 158 3
14 159 1
14 33 442
14 164 7
14 165 200
14 38 8
14 169 2
14 177 3
14 180 81
14 56 24
14 185 99
14 60 24
14 191 10
14 195 1
14 69 150
