1 32 401
1 33 17
1 34 12
1 4 5
1 37 17
1 6 251
1 39 3
1 40 52
1 9 17
1 10 27
1 7 43
1 2 4
1 16 92
1 17 205
1 24 362
1 25 189
1 5 275
1 36 2
3 4 5
3 7 29
3 8 1
3 44 5
3 23 9
3 63 2
4 36 1
4 7 23
4 8 1
4 44 17
4 47 5
4 23 1
5 6 13159
5 7 5902
5 8 664
5 9 4866
5 10 6795
5 11 5
5 14 6
5 16 4291
5 17 9296
5 18 44
5 19 608
5 20 20
5 23 7176
5 24 7636
5 25 10209
5 30 532
5 31 3780
5 32 11985
5 33 667
5 34 17
5 36 107
5 37 23
5 39 1
5 40 362
5 41 9
5 58 1
5 63 2
5 65 2
5 71 1
5 82 27
6 7 9852
6 8 749
6 9 9388
6 10 12055
6 11 1
6 13 1
6 14 11
6 16 9042
6 17 13236
6 18 13
6 19 290
6 20 16
6 23 8872
6 24 10206
6 25 9845
6 30 259
6 31 2794
6 32 13794
6 33 1136
6 34 29
6 36 634
6 37 1079
6 40 39
6 41 11
6 46 25
6 47 44
6 50 44
6 56 58
6 57 2
6 63 10
6 69 1
6 71 1
6 72 2
6 82 30
7 8 947
7 9 8694
7 10 8127
7 11 4
7 12 1
7 14 9
7 16 5327
7 17 10904
7 18 76
7 19 845
7 20 17
7 23 9514
7 24 4178
7 25 7479
7 30 730
7 31 3146
7 32 7420
7 33 320
7 34 1
7 36 81
7 37 11
7 39 1
7 40 5
7 41 6
7 42 1
7 44 46
7 46 109
7 47 94
7 49 11
7 50 104
7 56 126
7 57 41
7 58 2
7 63 56
7 65 2
7 69 12
7 71 1
7 72 5
7 82 24
8 9 2684
8 10 1760
8 12 6
8 16 1112
8 17 1942
8 18 100
8 22 7
8 23 1776
8 24 342
8 25 400
8 31 48
8 32 471
8 33 23
8 39 1
8 44 22
8 47 8
8 48 16
8 57 9
8 58 1
9 10 16242
9 13 3
9 14 340
9 16 8341
9 17 20573
9 23 9795
9 24 8812
9 25 6143
9 31 2190
9 32 12521
9 33 1075
9 34 8
9 36 1859
9 37 15
9 39 1
9 46 87
9 47 18
9 48 54
9 49 27
9 50 38
9 54 1
9 56 68
9 57 39
9 58 9
9 63 33
9 69 11
9 72 6
