1 2 1187
1 3 2594
1 4 18095
1 5 17012
1 7 3670
1 8 3791
1 9 887
1 10 2617
1 11 7119
1 12 123
1 13 6252
1 14 692
1 15 2631
1 16 1230
1 17 13217
1 18 17732
1 19 5222
1 20 80
1 21 3286
1 22 1
1 23 5689
1 24 18286
1 25 30987
1 26 11818
1 27 3975
1 28 3948
1 29 10157
1 30 4014
1 31 8914
1 32 6220
1 34 597
1 35 1647
1 36 18534
1 37 106
1 38 1305
1 39 2999
1 40 15468
1 42 46
1 43 26
1 46 2888
1 48 1917
1 49 9
1 50 1629
1 51 8
1 52 778
1 53 5915
1 54 1712
1 56 362
1 59 7086
1 60 7293
1 61 915
1 62 3703
1 63 317
1 64 3812
1 66 30
2 32 4616
2 35 3884
2 8 2383
2 9 5495
2 10 9233
2 11 9
2 12 377
2 14 774
2 16 4355
2 17 201
2 18 617
2 23 663
2 25 1020
2 26 474
2 30 2547
2 31 9398
3 4 4512
3 5 7998
3 13 100
3 18 31
3 19 2668
3 20 2
3 21 1494
3 24 2138
3 25 8
3 27 406
3 28 2236
3 29 7329
3 36 5476
3 38 2457
3 39 4924
3 40 5946
3 43 47
3 51 26
3 53 45
3 54 3161
3 56 847
3 59 1641
3 60 1326
3 63 720
3 64 5290
3 66 84
4 5 8358
4 7 790
4 8 735
4 10 96
4 11 575
4 13 128
4 16 28
4 17 562
4 18 8560
4 19 13812
4 20 2
4 21 2267
4 23 2169
4 24 8765
4 25 18194
4 26 2331
4 28 11623
4 29 27248
4 30 845
4 31 1113
4 32 534
4 36 7118
4 38 1680
4 39 4377
4 40 7777
4 43 43
4 51 23
4 53 3150
4 54 2088
4 56 497
4 59 5469
4 60 5589
4 63 406
4 64 5121
4 66 72
5 8 5
5 9 207
5 10 97
5 11 3758
5 12 58
5 13 1153
5 15 297
5 18 4997
5 19 2766
5 20 1
5 21 1458
5 22 1
5 23 145
5 24 15003
5 25 4301
5 26 2459
5 27 1316
5 28 1534
5 29 7754
5 30 285
5 32 283
5 36 18595
5 38 3237
5 39 7246
5 40 20992
5 43 53
5 46 982
5 48 110
5 50 36
5 51 30
5 53 7975
5 54 3387
5 56 946
5 59 12658
5 60 10087
5 61 463
5 62 878
5 63 784
5 64 9072
5 66 93
6 8 387
6 41 31
6 11 174
6 12 3462
6 14 232
6 47 6
6 18 1
6 25 1
6 22 3475
6 9 834
6 23 1
6 57 1
6 26 2382
6 30 2315
7 8 1195
7 10 113
7 11 266
7 13 11
7 14 66
7 15 363
7 16 23
7 17 6131
7 18 54
