1 2 40
1 3 53
1 4 15
1 5 1
1 7 11
2 32 7
2 35 9
2 36 3
2 5 58
2 6 36
2 7 94
2 41 40
2 17 6
2 3 188
2 4 124
2 33 52
3 35 3
3 36 2
3 5 26
3 6 90
3 7 48
3 41 36
3 17 4
3 4 222
3 33 14
4 36 5
4 5 135
4 6 186
4 33 5
4 41 13
4 7 26
4 17 2
4 35 1
5 32 5
5 6 16
5 33 21
5 7 295
6 33 5
6 7 14
6 8 5
6 41 3
6 17 1
6 35 1
7 32 46
7 33 124
7 41 2
7 14 1
7 18 3
14 32 3
14 18 1
14 30 1
16 32 8
16 34 10
16 35 14
16 41 25
16 17 52
16 30 13
17 32 6
17 41 63
17 34 16
17 35 46
30 32 4
30 34 6
30 41 3
32 33 62
32 41 34
32 34 24
33 41 1
34 35 12
34 41 56
35 41 50
36 41 9
