1 33 19
1 2 693
1 3 996
1 4 64
1 7 1
1 41 2412
1 12 1
1 18 2
1 36 1051
2 32 673
2 34 2253
2 3 13973
2 4 3509
2 33 21097
2 41 6185
2 7 1398
2 12 17
2 13 17
2 16 421
2 17 2
2 18 9
2 35 667
2 25 1
2 36 250
3 35 1917
3 4 12050
3 33 14616
3 6 4933
3 7 1
3 41 12573
3 12 1
3 13 1
3 17 1174
3 18 2
3 22 1
3 25 3
3 36 2832
4 36 3553
4 37 52
4 6 10394
4 33 3112
4 8 1
4 41 11214
4 17 1430
4 35 1021
4 22 1
5 7 7
6 37 4049
6 8 5
6 9 11
6 17 1676
6 35 1593
6 41 12231
6 36 2356
7 32 12023
7 33 7770
7 12 76
7 13 1482
7 14 15720
7 18 386
8 37 3
8 38 4
8 39 10
8 41 6
8 9 79
8 26 1
9 38 54
9 39 125
9 41 50
9 10 9
9 40 16
9 26 55
9 37 46
10 40 50
10 26 22
10 11 127
10 39 27
11 38 5
11 39 8
11 40 70
11 41 18
11 15 15
11 26 3
11 29 1
11 31 30
12 32 515
12 33 69
12 13 28776
12 14 20860
12 16 598
12 18 1922
12 25 632
12 30 10999
13 32 1808
13 33 98
13 41 1
13 34 5
13 14 41533
13 16 9
13 18 3346
13 35 10
13 22 577
13 24 3
13 25 235
13 30 2963
14 32 13840
14 33 599
14 34 1230
14 35 44
14 41 1529
14 16 1213
14 17 4
14 18 1632
14 22 1243
14 25 2236
14 30 29538
15 36 4
15 40 14
15 41 12707
15 16 12253
15 17 643
15 22 110
15 23 1055
15 25 3018
15 27 4633
15 28 394
15 29 12283
15 30 9205
15 31 9449
16 32 7435
16 33 255
16 35 2022
16 40 9
16 41 23725
16 34 5279
16 17 9908
16 29 2
16 30 7045
16 31 3117
17 32 342
17 33 2376
17 41 19533
17 34 1455
17 35 9385
17 36 31
17 30 67
17 31 518
18 32 290
18 33 23
18 25 28
18 30 1995
19 26 5
19 20 1
20 26 1
22 41 2859
22 24 17
22 25 7543
22 30 7338
23 41 12
23 27 37
23 28 325
23 29 2586
23 31 631
24 41 1
24 25 36
25 33 1
25 36 4
25 41 3018
25 28 1320
25 29 313
25 30 12520
26 38 4
26 39 34
26 40 25
26 41 7
26 31 9
27 41 3465
27 28 170
27 29 526
27 31 443
28 41 53
28 29 1876
29 41 187
29 31 2930
30 32 4679
30 33 31
30 34 1580
30 35 105
30 41 7931
31 38 8
31 40 192
31 41 5441
32 33 9854
32 35 1
32 41 218
32 34 630
33 41 5079
33 35 920
33 34 642
34 35 5389
34 41 10226
35 41 9795
36 37 858
36 41 8832
37 38 401
37 39 24
37 41 5098
38 39 113
38 40 231
38 41 3065
39 40 52
39 41 56
40 41 259
