137 138 10
137 173 11
137 178 4
137 170 5
138 139 4
138 140 42
138 173 35
138 180 7
139 180 6
139 183 2
140 173 20
140 180 7
141 164 8
141 147 2
141 148 3
141 150 5
141 151 3
142 192 1
142 197 5
142 143 5
143 192 2
143 197 5
143 198 2
147 164 7
147 148 7
147 150 3
147 151 4
148 152 6
148 149 27
148 150 17
148 151 9
148 153 13
148 154 2
149 152 25
149 150 1
149 153 44
149 155 2
150 151 3
150 152 7
150 153 3
150 154 12
151 164 1
151 168 1
152 155 26
152 153 34
152 154 11
153 154 8
153 155 12
154 155 12
155 156 9
155 157 6
156 157 3
157 161 1
157 158 1
158 160 13
158 161 2
158 159 7
159 160 12
159 162 18
160 162 8
160 163 4
160 161 4
161 163 5
162 163 9
164 168 10
166 322 8
167 172 1
168 170 4
169 174 3
170 173 20
170 178 1
171 380 1
171 174 1
172 338 9
172 379 13
172 373 11
176 385 15
176 386 2
176 358 1
176 345 2
176 379 3
176 380 8
176 383 16
177 178 1
180 183 10
192 197 2
192 198 2
197 198 1
199 328 2884
199 229 423
199 326 1258
199 231 660
199 200 9222
199 329 299
199 266 21
199 269 3740
199 302 918
199 205 1
199 240 456
199 369 205
199 370 1542
199 372 357
199 201 1725
199 232 1415
200 301 69
200 302 2295
200 303 14
200 329 984
200 244 26
200 326 278
200 328 347
200 201 70
200 203 1311
200 205 672
200 212 431
200 229 715
200 230 2
200 231 993
200 232 2126
200 235 13
200 370 1465
200 239 52
200 240 1206
200 242 74
200 372 12
201 235 863
201 292 239
201 293 188
201 230 304
201 209 3
201 204 2623
201 202 2556
201 236 318
201 269 9884
201 270 675
201 207 3992
201 337 14
201 242 124
201 371 51
201 372 894
201 210 728
201 203 3041
201 369 11
201 231 433
202 292 125
202 293 9
202 211 541
202 209 14
202 203 221
202 236 12
202 269 2938
202 206 2312
202 271 141
202 208 4988
202 337 132
202 210 29
202 371 83
202 204 6678
202 270 1185
202 214 2519
202 216 20
202 207 9833
202 220 741
203 293 3
203 231 59
203 235 54
203 204 4207
203 205 86
203 210 5631
203 239 48
203 209 729
203 242 70
203 244 26
203 215 843
203 212 2892
203 218 157
204 293 96
204 236 59
204 206 5448
204 207 891
204 208 1088
204 209 6662
204 210 5825
204 211 642
204 213 850
204 214 54
204 218 5
205 231 120
205 232 259
205 212 277
206 208 1299
206 209 347
206 211 6722
206 213 4801
206 214 730
206 216 2710
206 220 4924
207 292 310
207 269 6270
207 270 9868
207 271 255
207 208 2606
207 337 1272
207 371 1272
207 212 23
207 214 2919
207 215 143
207 218 264
208 271 15
208 211 2736
208 214 3914
208 216 630
208 220 1621
209 210 2609
209 213 13
209 217 165
210 212 3
210 217 18
210 218 122
211 224 36
211 213 1401
211 214 720
211 216 5518
211 220 7542
212 233 2
212 274 35
212 241 219
212 237 49
212 244 42
212 245 298
212 214 28
212 297 83
212 218 708
212 239 42
212 296 267
212 232 2
212 215 1384
212 247 27
213 224 20
213 216 609
213 217 20
213 219 272
213 220 442
213 221 243
213 223 18
214 292 285
214 294 21
214 295 25
214 360 240
214 297 1
214 363 1
214 270 623
214 361 49
214 218 950
214 271 1976
214 220 1080
214 362 10
214 215 447
215 218 1258
216 224 2260
216 272 3
216 364 1
216 217 2092
216 218 60
216 219 827
216 220 6656
217 224 1761
217 218 1810
217 220 2101
217 221 33
217 222 336
217 223 352
218 224 81
218 390 111
218 296 2
218 274 1
218 241 10
218 245 19
218 220 462
218 222 558
218 247 19
219 224 2267
219 225 1643
219 272 376
219 220 99
219 221 2679
220 224 2112
220 225 524
220 272 57
220 361 74
220 364 3
220 271 4
220 362 3
220 222 36
221 224 3902
221 225 2273
221 227 391
221 228 157
221 332 212
221 364 254
221 272 1754
221 273 55
221 223 276
222 224 26
222 225 50
222 354 6
222 390 159
222 392 126
222 226 46
222 273 4
223 227 2
224 225 4292
224 226 3
224 227 386
224 228 283
224 332 389
224 330 24
224 364 402
224 335 29
224 272 778
224 273 57
225 354 82
225 331 186
225 228 1196
225 392 275
225 361 394
225 362 447
225 363 143
225 364 77
225 226 77
225 334 161
225 272 173
225 273 1494
225 332 17
226 354 99
226 227 143
226 228 117
226 392 38
227 228 557
227 364 746
227 330 461
227 332 1130
227 335 673
227 272 86
228 392 120
228 364 749
228 330 184
228 332 2153
228 354 247
228 335 848
228 272 405
228 273 853
228 280 49
229 240 546
229 230 1007
229 326 86
229 329 6
229 231 2804
229 300 2008
229 301 2210
229 302 2282
229 367 20
229 368 2770
229 232 587
229 370 526
229 307 638
229 244 173
229 306 917
229 338 3
229 369 2
229 376 1
230 240 161
230 370 2261
230 231 3789
230 235 3477
230 236 45
230 269 3
230 302 177
230 239 118
230 368 1809
230 369 1761
230 242 384
230 371 303
230 372 1652
230 366 147
230 244 381
230 303 2
230 232 102
231 269 29
231 270 67
231 240 3317
231 241 156
231 296 23
231 242 2468
231 302 718
231 303 9
231 306 27
231 372 713
231 337 25
231 232 2807
231 233 220
231 235 1729
231 236 2
231 237 16
231 238 1
231 239 2591
231 368 1523
231 369 15
231 370 1138
231 244 4059
232 233 725
232 234 23
232 302 1186
232 303 67
232 240 793
232 370 223
232 237 49
232 306 36
232 244 1126
232 239 1389
233 234 159
233 237 661
233 302 135
233 303 83
233 305 69
233 306 148
233 244 113
233 239 1109
234 237 236
234 238 49
234 239 2
235 295 606
235 294 412
235 293 144
235 236 3603
235 269 70
235 270 119
235 239 126
235 337 89
235 242 558
235 372 2765
235 297 16
235 241 122
235 296 2043
236 295 248
236 294 747
236 292 414
236 293 634
236 296 37
236 270 124
236 271 129
236 369 19
236 371 313
236 372 514
236 360 17
237 302 2
237 239 541
237 241 221
237 306 20
237 238 482
237 244 280
238 241 453
238 244 395
238 245 156
239 305 127
239 242 531
239 302 745
239 303 45
239 240 430
239 306 351
239 270 1
239 241 85
239 244 4161
239 296 11
240 305 20
240 291 65
240 307 214
240 329 68
240 301 22
240 302 1657
240 306 211
240 243 1
240 244 1463
240 303 220
241 295 433
241 242 25
241 294 80
241 296 1306
241 297 76
241 274 21
241 245 881
241 247 133
241 244 729
242 337 11
242 269 23
242 270 54
242 244 894
242 372 196
242 296 3
243 291 25
243 299 2
243 244 594
243 246 10
243 350 1
244 270 1
244 274 177
244 291 9
244 296 412
244 297 523
244 302 132
244 245 1561
244 246 731
244 247 147
244 249 343
245 296 2022
245 297 2177
245 274 545
245 246 317
245 247 455
245 249 141
247 296 57
247 297 89
247 274 798
247 249 642
247 251 276
247 277 8
249 297 65
249 274 332
249 277 5
249 250 5
249 251 28
249 253 10
249 254 1
250 288 1
250 253 1
250 254 2
251 279 7
251 331 8
251 333 21
251 274 990
251 276 21
251 277 308
251 280 3
251 282 3
251 281 15
251 253 6
251 255 2
253 257 3
253 277 3
253 281 3
253 254 7
254 288 3
254 257 3
254 259 49
254 324 303
254 261 5
254 262 4
254 289 1
254 328 246
254 267 262
254 366 504
254 336 30
254 281 3
254 314 1
254 255 4
255 256 6
255 257 11
255 262 4
255 263 12
255 279 1
255 280 2
255 281 4
255 282 2
255 287 5
256 257 7
256 260 1
256 262 2
256 263 1
256 287 6
257 262 2
257 263 1
257 281 3
257 287 3
259 288 12
259 289 3
259 290 1
259 324 39
259 261 1
259 264 4
259 266 1
259 267 9
259 366 14
259 315 2
260 262 2
260 263 638
260 328 268
260 265 258
260 268 19
260 336 642
260 287 147
261 262 115
261 266 1
261 267 26
261 336 158
261 314 1
262 263 157
262 328 102
262 267 283
262 268 357
262 336 848
262 287 1
263 328 854
263 265 363
263 266 5
263 267 384
263 268 493
263 336 1461
263 287 255
264 289 1
264 290 2
264 324 70
264 326 26
264 266 2
264 267 26
264 315 3
265 328 33
265 268 1
265 336 619
265 287 509
266 368 144
266 326 213
266 268 16
266 366 107
266 336 3
266 328 121
266 267 191
266 315 2
267 336 712
267 324 352
267 268 986
267 366 596
267 368 484
267 328 1961
267 326 701
267 315 1
268 328 1431
268 336 930
269 292 294
269 328 1263
269 270 5145
269 336 3030
269 369 1348
269 371 1551
269 372 22
269 337 8714
270 292 1244
270 294 1
270 360 21
270 271 717
270 337 2463
270 371 2133
270 372 30
271 292 1761
271 294 9
271 360 1377
271 361 347
271 363 12
271 298 2
271 362 628
272 361 952
272 330 13
272 332 1088
272 335 2
272 273 16
272 362 26
272 278 6
272 364 2962
272 282 1
273 390 2
273 392 185
273 276 1
273 277 1
273 278 53
273 279 4
273 280 183
273 282 3
273 331 294
273 332 41
273 334 169
273 354 24
273 361 54
273 362 328
273 363 246
273 364 59
274 296 181
274 297 918
274 298 5
274 331 615
274 333 1364
274 277 198
275 280 1
275 283 1
276 331 867
276 333 1188
