1 2 3
1 4 2
1 5 1
1 6 7
1 7 6
1 11 3
1 16 2
1 29 2
1 31 9
2 4 10
2 5 2
2 7 1
4 5 40
4 6 76
4 7 3
4 16 2
4 31 15
5 33 4
5 6 55
5 7 15
5 8 1
5 9 6
5 15 2
5 16 2
5 29 2
5 31 23
6 7 48
6 9 16
6 15 2
7 8 9
7 9 36
7 11 3
7 15 18
7 16 14
8 16 2
8 9 23
8 15 25
9 15 253
9 16 322
9 18 1
9 29 13
9 31 454
14 32 144
14 34 406
14 39 891
14 19 64
14 23 4754
14 24 4432
14 25 1894
14 31 68
15 32 533
15 33 868
15 36 88
15 39 129
15 16 1046
15 17 3
15 18 4
15 29 745
15 31 2925
16 17 793
16 18 4469
16 19 560
16 21 339
16 22 3798
16 23 40
16 24 36
16 28 988
16 29 8786
16 30 5013
16 31 14216
16 32 1359
16 33 856
16 34 3
16 39 27
17 18 4067
17 19 1903
17 20 700
17 22 1831
18 39 46
18 19 1195
18 20 28
18 22 5692
18 24 167
18 28 5907
18 29 4344
18 30 1100
19 20 868
19 21 1973
19 22 2897
19 23 1806
19 24 578
19 28 135
20 21 1171
20 22 1143
20 23 7
20 63 121
21 22 2910
21 23 2139
21 24 114
21 63 44
22 23 2250
22 24 1439
22 28 2002
22 29 879
22 30 364
22 63 38
23 39 231
23 24 12802
23 25 1705
23 28 33
24 34 63
24 39 6969
24 40 339
24 25 9379
24 26 1161
24 28 7749
24 29 1591
24 30 200
24 31 58
25 32 19
25 33 22
25 34 280
25 39 5553
25 26 156
25 28 703
25 29 18
25 31 3
26 31 7
26 40 62
26 39 103
27 28 4
28 33 21
28 34 425
28 39 3842
28 40 456
28 29 13303
28 30 841
28 31 1029
29 32 1639
29 33 1329
29 30 3399
29 31 22625
30 32 1718
30 33 566
30 31 3650
31 32 3901
31 34 302
31 33 1808
31 39 382
32 33 605
32 34 517
32 39 538
33 34 28
33 36 20
33 39 788
34 39 1607
38 72 35
38 81 6
38 67 11
38 68 8
38 69 1
39 40 12
41 42 13
41 45 11
41 44 4
41 74 2
41 47 28
42 45 3
44 48 2
44 47 8
45 74 7
45 46 11
45 47 10
46 49 2
46 50 10
46 74 13
46 47 1
47 74 2
47 48 19
47 52 7
47 53 2
48 49 5
48 53 2
48 52 4
49 50 16
50 72 7
50 74 4
50 56 3
55 80 2
55 65 4
55 66 4
55 69 3
55 64 4
56 72 2
56 73 7
56 58 5
56 57 6
57 64 3
57 71 4
57 72 7
57 58 14
57 59 18
57 60 2
58 59 83
58 60 26
58 61 2
58 63 29
59 64 5
59 69 2
59 70 8
59 71 8
59 60 2
59 62 10
59 63 57
60 64 3
60 71 2
60 72 2
60 61 8
60 62 4
60 63 8
61 62 1
62 64 6
62 71 3
62 72 1
62 63 7
63 64 4
63 65 22
63 69 61
63 70 36
63 71 28
63 72 1
64 65 22
64 66 5
64 69 20
64 71 13
64 72 10
64 80 4
65 66 4
65 69 85
65 70 24
65 71 5
65 72 6
65 80 1
66 72 2
66 73 1
66 80 4
67 72 10
67 81 2
67 68 9
67 70 1
68 69 2
68 70 2
68 72 14
68 81 3
69 70 98
69 71 30
69 72 6
70 71 38
70 72 27
71 72 20
72 73 1
72 74 1
72 80 4
72 81 10
73 80 3
