1 32 2
1 2 5
1 4 2
1 30 39
2 32 16
2 4 1
2 29 1
2 30 1
2 31 4
3 12 633
3 13 5623
3 45 7010
4 29 2
5 9 105
6 18 19
6 11 1
6 50 18
6 14 1
6 15 3
7 48 11
8 40 21
8 39 1006
10 11 1777
10 12 4420
10 13 999
10 14 5788
10 15 127
10 17 1728
11 14 8297
11 15 15452
11 16 8139
11 17 19
12 17 1239
12 13 7730
12 14 3962
13 17 5827
13 14 2902
14 15 16787
14 16 26903
14 17 8042
15 16 10490
15 17 6317
15 50 2
18 50 22
21 22 3179
23 24 10
23 43 4
24 43 3
25 26 6
25 37 4
26 37 1
27 35 9
27 36 1
27 37 10
27 43 42
27 53 6
27 28 67
27 30 41
28 43 6
28 37 1
28 30 20
29 33 1
29 30 1
29 36 4
30 32 7
30 35 1
30 36 15
30 53 2
31 32 7
33 36 1
35 43 2
35 37 5
35 53 2
37 43 5
38 44 59
39 40 1184
39 47 3713
40 47 692
40 51 1546
44 48 17
45 51 597
45 47 3626
47 51 344
