1 2 5438
1 3 186
1 4 51
1 5 157
1 6 443
1 7 6
1 9 207
1 10 47
1 11 14
1 12 9
1 13 117
2 3 111
2 4 40
2 5 92
2 6 293
2 9 147
2 10 34
2 11 6
2 12 5426
2 13 12395
3 4 6
3 5 70
3 6 63
3 9 12
3 11 2
4 9 39
5 11 10
5 6 131
6 7 4
6 9 1
6 10 9
6 11 7
8 17 678
8 19 5627
8 12 7752
8 13 8521
8 15 660
9 10 5
12 13 562584
12 14 11974
12 15 15993
12 16 116
12 17 21019
12 18 2186
12 19 60868
12 20 7880
12 21 53
13 14 7966
13 15 16601
13 16 34
13 17 16164
13 18 1605
13 19 56097
13 20 3857
13 21 46
14 16 6
14 19 1699
14 15 29
15 19 5388
16 17 5
16 21 28
17 18 2153
17 19 105
17 20 487
17 21 28
19 20 2913
