1 2 1683
1 3 11073
1 5 732
1 7 1
1 8 1
1 12 5
1 13 6
1 23 5348
1 24 11
1 25 2225
1 27 9
1 29 14
2 3 3
2 4 2931
2 6 623
2 12 5
2 13 37
2 14 26
2 23 6
2 24 46
2 26 3
2 28 3
3 5 8601
3 7 105
3 8 24
3 9 589
3 10 111
3 23 1740
3 25 3054
3 27 48
3 29 17
4 6 2162
4 13 16
4 14 36
4 17 5
4 24 8
5 6 78
5 7 3536
5 8 648
5 9 3322
5 10 1453
5 23 1
5 25 2
6 13 52
6 14 282
6 16 664
7 8 1819
7 9 2087
8 9 1753
9 10 1874
10 11 3342
13 14 647
14 15 35
14 24 2
17 18 489
23 24 380
23 25 2234
23 27 11
23 29 10
24 25 66
24 26 32
24 28 3
25 27 118
25 29 49
25 30 12
26 28 10
27 29 45
27 30 16
28 36 1
29 30 11
33 34 13
33 35 1
34 35 9
39 40 6
40 41 1
