50 55 386
50 77 9
50 99 371
50 100 7
50 103 5
50 104 29
50 115 345
50 116 20
50 118 2
50 119 14
50 120 8
50 123 3
50 125 8
51 143 314
51 152 1
51 146 1376
51 147 1283
51 148 1
51 150 1
51 55 4
51 94 8
51 100 1
51 103 4
51 104 15
51 115 2155
51 116 293
51 120 10
52 98 226
52 99 584
52 119 19
52 77 1
52 174 88
52 118 5
52 55 3
52 125 11
53 131 28
53 133 44
53 134 29
53 135 2
53 147 2
53 54 9
53 95 3
54 133 11
54 131 2
54 134 13
55 166 6
55 167 5
55 172 3
55 66 7
55 72 3
55 73 9
55 77 22
55 78 1
55 82 1
55 83 1
55 98 256
55 99 20
55 100 1
55 101 7
55 103 1
55 105 9
55 119 1
55 120 2
55 123 1
55 125 1
60 64 2
60 68 8
60 86 7
60 63 3
61 86 1
61 70 2
63 64 9
63 130 1
63 68 6
63 71 1
63 169 1
63 86 2
63 90 3
63 91 2
64 68 7
64 71 8
64 169 2
64 86 4
64 87 14
64 164 1
64 90 1
64 91 1
65 130 2
65 170 7
65 75 8
65 76 12
65 84 2
65 90 1
65 91 1
65 93 1
66 96 13
66 67 3
66 72 27
66 78 1
66 146 1
66 83 3
66 85 3
67 97 1
67 69 6
67 70 4
67 72 1
67 73 2
67 77 1
67 78 4
67 80 5
67 82 2
67 83 11
67 85 3
68 69 2
68 70 11
68 71 14
68 86 40
69 70 1
69 97 2
70 72 3
70 170 2
70 81 11
70 82 6
70 83 5
70 74 1
70 85 23
70 86 18
70 84 1
71 169 12
71 170 1
71 76 2
71 84 3
71 85 1
71 86 14
71 87 16
71 88 2
71 89 9
71 90 3
72 98 2
72 73 2
72 78 10
72 77 5
72 174 2
72 79 1
72 80 4
72 82 13
72 83 6
72 85 3
72 124 1
73 131 4
73 168 19
73 174 8
73 177 1
73 74 108
73 77 1001
73 78 9
73 80 51
73 81 1
73 82 41
73 83 8
73 98 11
73 101 47
73 105 842
73 107 163
73 108 336
73 109 32
73 111 33
73 112 122
73 114 21
73 122 1
73 124 3
73 127 4
74 80 39
74 75 9
74 168 42
74 170 3
74 107 58
74 108 28
74 109 9
74 110 9
74 77 1
74 112 10
74 81 42
74 82 10
74 83 8
74 84 1
74 85 17
74 86 22
74 105 274
74 111 29
74 93 2
75 130 23
75 93 14
75 168 11
75 171 1
75 76 26
75 110 5
75 111 1
75 81 34
75 84 3
75 85 3
75 86 4
75 122 4
75 170 75
75 127 2
76 169 17
76 170 45
76 81 1
76 84 12
76 88 11
76 90 31
76 91 5
76 92 2
76 93 6
77 130 1
77 131 1
77 166 21
77 167 612
77 174 156
77 177 9
77 78 31
77 79 1
77 80 20
77 82 14
77 83 5
77 98 510
77 99 5
77 101 745
77 105 570
77 106 2
77 107 30
77 108 546
77 109 16
77 111 5
77 112 216
77 113 2
77 114 485
77 121 7
77 124 58
78 98 13
78 107 6
78 108 9
78 174 4
78 80 10
78 82 16
78 83 2
78 124 1
80 98 4
80 168 27
80 113 4
80 107 9
80 108 34
80 109 16
80 81 6
80 82 71
80 83 6
80 85 1
80 110 21
80 111 14
80 93 2
81 165 2
81 93 17
81 110 12
81 111 5
81 82 4
81 83 19
81 84 10
81 85 24
81 86 27
81 91 6
81 170 19
82 165 6
82 168 75
82 83 39
82 85 13
82 86 2
82 91 1
82 107 27
82 108 38
82 109 22
82 110 64
82 111 7
82 113 3
83 165 1
83 84 11
83 110 5
83 86 2
83 168 7
83 85 29
84 169 7
84 110 6
84 93 12
84 85 18
84 86 13
84 91 17
84 92 3
84 170 16
85 86 69
85 92 1
85 170 11
86 169 6
86 170 10
87 89 8
87 92 7
88 169 1
88 170 2
88 89 5
88 90 6
89 90 1
89 92 2
90 130 1
90 169 1
90 91 2
90 92 2
91 130 18
91 165 12
91 170 7
91 110 22
91 111 5
91 92 4
91 93 24
92 164 2
92 165 1
93 130 35
93 171 7
93 165 10
93 110 44
93 111 9
93 122 4
93 170 3
93 127 6
94 115 31
94 143 470
94 144 176
94 116 661
94 149 175
94 150 87
94 148 14
95 96 2
96 97 2
98 131 25
98 166 25
98 167 194
98 172 5
98 174 20
98 176 25
98 177 9
98 99 968
98 101 179
98 102 2
98 105 41
98 106 8
98 108 2
98 112 1
98 114 90
98 123 17
98 124 2
98 127 25
99 128 26
99 146 269
99 152 1
99 154 31
99 162 23
99 166 1
99 172 2
99 173 80
99 174 552
99 100 113
99 101 66
99 104 75
99 105 1
99 118 12
99 119 40
99 120 1
99 123 296
99 124 123
99 125 38
99 126 3
99 127 1
100 132 769
100 146 8
100 152 10
100 154 6
100 162 1
100 166 1
100 167 62
100 172 26
100 173 40
100 174 1001
100 101 239
100 103 465
100 104 1897
100 105 1
100 118 18
100 119 3
100 120 28
100 123 915
100 124 67
100 125 13
101 128 126
101 129 1
101 132 196
101 166 5
101 167 1386
101 172 202
101 173 338
101 174 99
101 176 124
101 102 1
101 103 8
101 104 191
101 105 595
101 114 465
101 118 10
101 119 2
101 123 16
101 124 120
102 128 4
102 129 14
102 166 1186
102 105 270
102 106 33
102 172 219
102 175 438
102 176 289
102 177 92
102 127 18
102 133 173
103 129 1
103 138 2
103 146 1
103 104 735
103 118 5
103 120 36
103 152 20
103 125 1
103 159 1
104 132 1271
104 138 4
104 146 269
104 147 780
104 152 6
104 154 1
104 129 1
104 174 1644
104 136 232
104 120 14
104 123 1133
104 124 545
104 125 5
105 128 10
105 131 853
105 133 210
105 166 3872
105 167 342
105 172 157
105 173 6
105 175 4602
105 176 3870
105 177 3304
105 106 4752
105 107 742
105 108 528
105 109 8
105 111 30
105 112 536
105 114 304
105 117 1
105 118 7
105 121 1
105 127 3715
106 131 1330
106 166 529
106 108 9
106 174 21
106 111 2
106 176 1690
106 177 1605
106 121 3
106 175 2952
106 124 36
106 127 1737
107 112 32
107 131 8
107 168 32
107 108 136
107 113 2
107 110 3
107 127 15
108 131 12
108 168 46
108 175 2
108 177 1
108 109 36
108 110 24
108 111 24
108 112 205
108 113 3
108 114 85
108 122 1
108 127 12
109 130 302
109 165 9
109 166 4
109 168 23
109 110 18
109 111 44
109 177 78
109 117 488
109 118 114
109 121 12
109 122 25
110 130 12
110 131 18
110 165 37
110 168 65
110 175 7
110 177 13
110 111 40
110 113 1
110 124 4
110 127 21
