1 2 3
1 28 12
1 29 904
2 32 10
2 34 1
2 26 9
2 27 7
2 28 21
2 29 50
2 30 1138
2 31 5641
3 43 21
3 13 18
4 32 687
4 35 40
4 28 2421
4 29 507
4 30 22
4 31 1245
5 9 7
6 49 3026
6 46 6713
8 37 10
10 16 7
10 11 32
10 12 36
10 14 15
11 12 5
11 14 53
11 15 19
13 17 15
14 16 32
14 17 26
14 15 20
16 17 9
18 40 22
18 41 640
18 22 996
19 33 7492
19 34 220
19 41 451
19 20 549
19 24 678
19 25 3286
20 21 29
22 41 8613
22 23 973
23 36 4
23 41 1255
23 26 2014
23 27 32
23 29 9
24 32 2585
24 33 285
24 34 1002
24 36 9256
24 25 3318
24 26 1650
24 28 2025
24 29 2712
24 30 1488
24 31 656
25 32 331
25 33 1916
25 34 163
25 36 498
25 30 315
26 36 4279
26 41 1201
26 34 4029
26 27 3778
26 29 6901
26 31 1251
27 36 16
27 29 1363
27 31 107
28 32 6464
28 35 3809
28 36 3550
28 29 4043
28 30 5011
28 31 702
29 34 1392
29 36 4040
29 30 1033
29 31 4860
30 32 10411
30 35 715
30 34 17
30 31 5784
30 36 4508
31 32 3239
31 34 2729
31 36 2715
32 35 1571
32 41 276
32 36 8350
32 34 2126
33 34 42
33 36 283
33 41 2400
34 36 8355
34 41 6439
35 36 19
36 41 3065
37 46 2290
37 38 5
38 48 5
38 39 9
38 45 9
39 48 5
43 45 24
