1 2 3
1 3 3
1 12 4
1 13 5
1 14 6
1 22 5
1 24 4
2 6 4
2 4 22
2 13 6
2 14 12
3 8 1
3 5 33
3 24 1
3 7 2
4 6 11
4 16 5
4 24 1
4 25 2
4 26 1
5 8 5
5 7 29
6 13 2
6 14 4
6 15 1
6 16 36
6 17 2
7 8 16
7 9 1
8 9 10
9 10 1
12 13 7
12 14 5
13 14 17
14 15 3
16 17 11
17 18 2952
17 19 149
18 19 950
22 24 15
22 26 2
22 23 4
23 25 20
23 27 2
24 32 2
24 26 14
24 30 4
24 31 10
25 34 4
25 35 5
25 36 60
25 37 231
25 38 57
25 39 51
25 27 4356
26 28 38
26 29 31
26 30 20
26 31 19
27 34 7
27 35 5
27 36 776
27 37 802
27 38 293
27 39 8
28 29 36
28 30 4
29 30 28
29 31 2
30 32 2
30 31 233
31 32 4
33 34 13
34 35 1373
34 36 1572
34 37 175
35 36 5416
35 37 280
36 37 1570
36 38 95
36 39 75
37 38 1228
37 39 1290
38 39 6650
38 40 102
39 40 3886
40 41 114
41 42 336
41 43 29
41 45 112
42 43 1618
42 44 218
42 45 1002
43 44 139
43 45 54
