1 2 3
1 3 3
1 4 1
1 5 13
1 7 2
2 32 28311
2 34 3746
2 3 28969
2 4 2151
2 5 165
2 6 132
2 33 50828
2 41 27821
2 7 33557
2 13 37039
2 14 41633
2 17 47
2 18 2030
2 35 181
2 36 3823
3 32 12455
3 4 9062
3 5 165
3 6 727
3 33 20614
3 8 9
3 9 10
3 7 11614
3 12 4306
3 34 2632
3 14 27499
3 13 45995
3 18 16567
3 41 27571
3 36 5509
4 36 2125
4 5 132
4 6 1904
4 33 1300
4 8 11
4 41 16628
4 7 1605
4 12 7479
4 13 12200
4 14 1301
4 15 552
4 18 17358
4 9 9
4 24 4
4 25 5480
4 29 648
5 6 64
5 7 321
6 7 147
6 8 117
6 9 17
6 12 9320
6 13 7517
6 14 193
6 15 129
6 18 1563
6 21 170
6 22 18325
6 24 6177
6 25 13949
6 29 96
6 30 132
6 33 98
6 36 1029
6 37 3198
6 38 1
6 41 29305
7 32 13248
7 33 48096
7 41 1394
7 13 13044
7 14 25088
8 9 25
9 37 3
9 39 39
9 10 27
10 40 130
10 11 131
10 38 38
10 39 201
11 40 108
11 39 8
12 32 1349
12 34 1173
12 36 10636
12 37 301
12 41 55228
12 13 104699
12 14 47769
12 16 4
12 18 20149
12 22 19402
12 25 18475
12 24 10134
12 30 16895
13 14 155390
13 15 38069
13 16 170
13 17 120
13 18 36230
13 22 41163
13 24 2551
13 25 39788
13 30 60905
13 32 41427
13 33 31236
13 34 13258
13 35 2
13 36 20533
13 37 5329
13 41 104661
14 32 45017
14 33 46617
14 41 38187
14 15 36743
14 34 7453
14 17 250
14 18 5987
14 35 112
14 22 8132
14 25 20732
14 36 5936
14 30 89209
14 16 4946
15 38 51
15 31 51937
15 41 86538
15 16 35084
15 17 8190
15 22 14096
15 25 108224
15 27 2777
15 28 5980
15 29 25941
15 30 75552
15 37 519
16 32 3003
16 34 2629
16 35 4724
16 41 14585
16 17 12503
16 25 11923
16 29 115
16 30 27309
16 31 9954
17 32 4007
17 33 434
17 35 4892
17 41 13822
17 34 2986
17 25 88
17 30 8593
17 31 39
18 32 16
18 41 34610
18 34 32
18 21 261
18 25 8397
18 24 56
18 36 10444
18 30 6
21 24 769
21 41 1537
21 25 1638
22 27 395
22 37 11035
22 41 78798
22 24 12599
22 25 38372
22 38 94
22 30 20638
23 41 2749
23 27 7515
23 28 2961
23 29 6364
23 31 11842
24 37 582
24 41 23778
24 25 17735
25 27 5500
25 37 2097
25 41 112010
25 36 32
25 38 337
25 28 6337
25 29 2810
25 30 24567
25 31 34225
27 38 2370
27 41 26111
27 28 11333
27 29 6245
27 31 8508
28 41 15027
28 29 3695
28 31 3580
29 41 5190
29 31 28701
30 32 8674
30 34 764
30 35 1071
30 36 12
30 37 1136
30 41 31249
30 38 2
30 31 32
31 41 45655
32 33 36460
32 36 3789
32 41 31201
32 35 4106
32 34 16589
33 41 15117
33 34 3
33 35 96
33 36 44
34 36 3053
34 41 22102
34 35 7620
35 41 7211
36 41 36942
37 38 69
37 39 44
37 41 11099
38 39 227
38 40 516
38 41 2895
39 40 201
39 41 24
40 41 2
