1 33 76
1 2 5442
1 39 1377
1 8 1
1 9 4060
1 11 9905
1 12 53
1 13 2684
1 14 24
1 44 5407
1 7 3384
1 31 5834
2 33 56
2 7 3222
2 9 1478
2 44 3521
2 13 12
4 25 1
4 35 2
5 35 489
5 36 17
5 37 390
5 41 6302
5 46 391
5 19 11
5 21 558
5 29 38
5 30 33
7 33 2330
7 9 1205
7 44 4518
7 13 1504
7 15 329
9 33 866
9 39 42
9 44 1599
9 13 570
11 37 2306
11 39 90
11 13 8249
11 31 81
12 14 11
13 37 5233
13 33 10516
13 44 123
13 15 189
13 39 1874
13 31 44
15 33 5548
15 44 42
19 41 2
19 37 36
19 21 34
21 35 282
21 37 19879
21 39 10947
21 41 617
21 31 234
22 34 23
22 42 5
25 27 2
27 35 1
28 42 5
28 30 2
29 41 207
30 36 6
30 42 93
31 37 1511
31 39 2494
31 33 146
32 40 38
32 34 29
33 37 2299
33 39 1470
33 44 932
34 40 4
34 42 5
35 37 31
35 41 460
36 38 1
37 39 9398
37 41 540
40 45 1
