3 17 5
3 7 5
7 17 82
7 18 49
7 20 13
7 22 28
9 11 1
9 12 2
10 12 4
10 20 3
10 46 38
11 14 1
11 15 1
12 44 23
12 13 12
12 15 6
13 16 5
13 46 2
13 23 7
14 15 36
15 37 3
15 38 36
15 44 11
15 16 7
16 35 3
16 36 6
16 38 9
16 23 7
17 18 269
17 19 3
17 20 27
17 21 5
17 22 336
18 20 12
18 21 26
18 22 281
18 31 10
19 43 8
19 20 30
19 21 5
20 43 21
20 46 35
20 21 46
20 22 3
21 43 8
21 46 2
21 22 70
22 32 69
22 47 12
22 48 114
22 23 18
22 24 13
22 30 29
22 31 249
23 48 25
23 36 78
23 39 4
23 40 46
23 47 6
23 24 54
23 30 1
23 31 3
24 48 242
24 47 3
24 36 11
30 31 5
30 36 1
31 32 28
31 47 1
31 48 27
32 48 98
34 38 2
35 36 1
35 38 19
35 39 7
36 48 82
36 39 14
36 40 102
37 38 1
38 39 17
39 40 13
40 48 32
43 46 13
47 48 4
