1 2 27004
1 5 8501
1 11 472
1 12 3022
1 13 1
1 14 1188
1 15 4474
1 16 886
1 17 3
2 3 9
2 5 6284
2 6 3696
2 11 486
2 12 3323
2 13 2150
2 14 4561
2 15 9828
2 16 6984
3 4 2456
3 6 293
3 9 809
3 12 241
3 14 54
3 15 852
3 17 4
4 5 8
4 6 834
4 7 16853
4 8 46
4 9 1135
4 12 1420
4 13 7242
4 14 28989
4 16 7636
4 17 23160
5 6 2971
5 7 22
5 8 217
5 9 4114
5 11 3
5 12 18822
5 13 2897
5 14 6120
5 15 13165
5 16 12019
5 17 1769
6 7 1696
6 9 113
6 12 4563
6 13 1140
6 14 3269
6 15 2200
6 16 4154
6 17 1604
7 8 1611
7 9 5658
7 12 2178
7 13 6590
7 14 16982
7 15 206
7 16 7097
7 17 23774
8 9 344
8 12 351
8 13 2011
8 14 99
8 15 520
8 16 1497
8 17 23
9 12 197
9 13 1331
9 14 329
9 15 573
9 16 75
9 17 9164
10 13 4
12 13 6546
12 14 18420
12 15 10801
12 16 13914
12 17 1129
13 14 19379
13 15 1270
13 16 9547
13 17 10917
14 15 2214
14 16 18349
14 17 22410
15 16 5431
16 17 10166
