1 2 3
1 5 4
1 6 17
1 7 20
2 5 10
2 6 3
5 6 39
5 7 11
6 35 278
6 38 1387
6 40 657
6 10 2916
6 34 830
6 16 135
6 81 561
6 26 66
6 37 5124
7 8 1
8 11 9
8 14 3
9 64 130
9 10 92
9 61 6
9 15 833
10 11 33
10 14 2
10 15 6462
10 16 24395
10 17 4551
10 18 498
10 20 14477
10 21 27
10 22 6
10 23 42
10 24 5110
10 26 3428
10 32 937
10 33 1845
10 34 15255
10 35 11385
10 37 11044
10 40 12193
10 50 2
10 60 4885
10 61 1642
10 62 3029
10 64 7280
10 81 9527
11 18 11
11 14 4
11 16 63
11 50 1
11 20 93
11 60 35
15 32 2261
15 33 6350
15 34 7472
15 35 1040
15 37 100
15 17 4088
15 64 5297
15 16 16724
15 40 11421
15 20 2488
15 24 4086
15 26 1334
15 60 748
15 61 605
15 62 1927
16 17 26620
16 18 25702
16 19 4162
16 20 41951
16 21 20608
16 22 2275
16 23 403
16 24 9222
16 31 104
16 32 1988
16 33 8919
16 34 17925
16 35 5455
16 37 520
16 40 14254
16 58 5067
16 60 17342
16 61 20186
16 62 18121
16 63 10
16 64 3660
16 81 158
17 18 18614
17 19 46595
17 20 18063
17 21 15615
17 22 796
17 23 18603
17 24 9319
17 25 2925
17 29 2010
17 30 3054
17 31 7434
17 32 11198
17 33 837
17 34 231
17 40 465
17 58 7454
17 61 3880
17 62 10472
17 63 402
17 64 1518
17 81 1273
18 19 37794
18 20 52429
18 21 33348
18 23 4944
18 58 34653
18 60 15037
18 61 32566
18 62 5754
18 63 8739
19 32 484
19 62 1628
19 61 7838
19 20 18334
19 21 15842
19 22 176
19 23 18031
19 24 161
19 25 3219
19 58 11202
19 63 1680
19 29 10912
19 30 7024
19 31 2236
20 32 19
20 64 17056
20 21 47686
20 22 24134
20 23 744
20 24 20085
20 58 25373
20 31 3
20 60 25724
20 61 42981
20 62 29035
20 63 21469
21 64 3575
21 22 7732
21 23 2019
21 24 830
21 58 24728
21 61 38747
21 62 19451
21 63 21075
22 64 10281
22 23 1060
22 24 13242
22 31 1
22 61 1312
22 62 21053
22 63 11409
23 62 73
23 61 7
23 24 1371
23 25 3968
23 29 6167
23 30 5436
23 63 510
24 25 5377
24 26 1867
24 29 27
24 31 1871
24 32 3202
24 33 2402
24 34 38
24 40 660
24 61 1236
24 62 11669
24 63 3817
24 64 10994
24 81 1211
25 32 21785
25 34 472
25 35 33
25 81 6117
25 40 4090
25 26 6568
25 27 5631
25 28 4
25 29 29453
25 30 23907
25 31 15613
26 32 4011
26 34 2009
26 35 124
26 37 1062
26 40 13822
26 81 10875
26 27 229
27 32 6851
27 40 1125
27 41 362
27 81 2248
27 28 4
28 32 271
28 29 233
29 32 5607
29 34 38
29 81 2157
29 40 249
29 60 23
29 50 40
29 56 8
29 30 57907
29 31 6854
30 32 7547
30 33 70
30 34 9
30 81 1750
30 40 31
30 50 34
30 31 5471
31 32 11507
31 33 12
31 34 215
32 33 5298
32 34 765
32 81 6256
32 40 8102
33 34 1201
33 40 1440
34 35 8082
34 37 3070
34 81 3033
34 64 155
34 41 39
34 40 11395
34 38 855
35 37 1902
35 40 3870
35 81 3831
37 38 6404
37 40 5212
37 41 673
37 81 5797
38 40 11
38 41 4
38 81 2
40 81 10285
40 64 319
40 41 1481
41 81 862
56 57 1
57 59 1
57 70 2
57 71 6
58 59 1
58 60 3828
58 61 24029
58 62 260
58 63 6890
59 68 1
59 69 2
59 70 4
59 63 44
60 64 300
60 61 8430
60 62 484
61 64 2138
61 62 6132
61 63 14622
62 64 11508
62 63 8100
63 64 1751
63 65 13
63 68 35
63 69 22
63 70 2
64 65 26
65 68 46
68 69 16
69 71 1
69 70 16
